Search_Ref,Downloaded,Included,Why_Not,Extracted,Authors,Title,Journal,Year,Volume,Page_Start,Page_End,Article_Number,DOI
145,1,0,Food amount rather than visit rate,NA,"Sergio, F; Tavecchia, G; Tanferna, A; Jimenez, LL; Blas, J; De Stephanis, R; Marchant, TA; Kumar, N; Hiraldo, F","No effect of satellite tagging on survival, recruitment, longevity, productivity and social dominance of a raptor, and the provisioning and condition of its offspring",JOURNAL OF APPLIED ECOLOGY,2015,52,1665,1675,NA,10.1111/1365-2664.12520
152,1,0,No provisioning data,NA,"Burke, CM; Montevecchi, WA; Regular, PM",Seasonal Variation in Parental Care Drives Sex-Specific Foraging by a Monomorphic Seabird,PLOS ONE,2015,10,NA,NA,e0141190,10.1371/journal.pone.0141190
159,1,0,feeding duration and feeding 'attempts' not PR,NA,"Dugas, MB",Detectability matters: conspicuous nestling mouth colours make prey transfer easier for parents in a cavity nesting bird,BIOLOGY LETTERS,2015,11,NA,NA,20150771,10.1098/rsbl.2015.0771
168,1,0,No provisioning data,NA,"Marteinson, SC; Letcher, RJ; Fernie, KJ","Exposure to the androgenic brominated flame retardant 1,2-dibromo-4-(1,2-dibromoethyl)-cyclohexane alters reproductive and aggressive behaviors in birds",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2015,34,2395,2402,NA,10.1002/etc.3078
180,1,0,No provisioning data,NA,"Biancalana, RN","BREEDING BIOLOGY OF THE SOOTY SWIFT (CYPSELOIDES FUMIGATUS) IN SAO PAULO, BRAZIL",WILSON JOURNAL OF ORNITHOLOGY,2015,127,402,410,NA,NA
186,1,0,comparative,NA,"Martin, TE",Age-related mortality explains life history strategies of tropical and temperate songbirds,SCIENCE,2015,349,966,970,NA,10.1126/science.aad1173
187,1,0,No provisioning data,NA,"McCullagh, EA; Cristol, DA; Phillips, JB",Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,2015,50,1020,1028,NA,10.1080/10934529.2015.1038168
188,1,0,No provisioning data,NA,"Sindelar, J; Kubiznak, P; Zarybnicka, M",Sequential polyandry in female Tengmalm's owl (Aegolius funereus) during a poor rodent year,FOLIA ZOOLOGICA,2015,64,123,128,NA,NA
189,1,0,Review,NA,"Maney, DL; Horton, BM; Zinzow-Kramer, WM",Estrogen Receptor Alpha as a Mediator of Life-History Trade-offs,INTEGRATIVE AND COMPARATIVE BIOLOGY,2015,55,323,331,NA,10.1093/icb/icv005
197,1,0,"descriptive, tiny N, not clear time periods",NA,"Hamao, S; Hayama, M",Breeding ecology of the Japanese Bush Warbler in the Ogasawara Islands,ORNITHOLOGICAL SCIENCE,2015,14,111,115,NA,NA
203,1,0,No provisiong data,NA,"Rizzolo, DJ; Schmutz, JA; Speakman, JR","Fast and efficient: Postnatal growth and energy expenditure in an Arctic-breeding waterbird, the Red-throated Loon (Gavia stellata)",AUK,2015,132,657,670,NA,10.1642/AUK-14-261.1
205,1,0,Trip duration/Prey quality,NA,"Shoji, A; Aris-Brosou, S; Fayet, A; Padget, O; Perrins, C; Guilford, T",Dual foraging and pair coordination during chick provisioning by Manx shearwaters: empirical evidence supported by a simple model,JOURNAL OF EXPERIMENTAL BIOLOGY,2015,218,2116,2123,NA,10.1242/jeb.120626
211,1,0,diet composition,NA,"Orlowski, G; Wuczynski, A; Karg, J","Effect of Brood Age on Nestling Diet and Prey Composition in a Hedgerow Specialist Bird, the Barred Warbler Sylvia nisoria",PLOS ONE,2015,10,NA,NA,e0131100,10.1371/journal.pone.0131100
212,1,0,No Provisioning data,NA,"Hennicke, JC; James, DJ; Weimerskirch, H",Sex-Specific Habitat Utilization and Differential Breeding Investments in Christmas Island Frigatebirds throughout the Breeding Cycle,PLOS ONE,2015,10,NA,NA,e0129437,10.1371/journal.pone.0129437
217,1,0,No Provisioning data,NA,"Greeney, HF; Dyrcz, A; Mikusek, R; Port, J",Cooperative Breeding at a Nest of Slaty-backed Nightingale-Thrushes (Catharus fuscater),WILSON JOURNAL OF ORNITHOLOGY,2015,127,323,325,NA,NA
220,1,0,IVI rather that visit rate,NA,"Brzorad, JN; Maccarone, AD; Stone, HM","A Telemetry-based Study of Great Egret (Ardea alba) Nest-Attendance Patterns, Food-Provisioning Rates, and Foraging Activity in Kansas, USA",WATERBIRDS,2015,38,162,172,NA,NA
225,1,0,Feacal sac removal,NA,"Gow, EA; Wiebe, KL; Musgrove, A",Nest sanitation in response to short- and long-term changes of brood size: males clean more in a sex-role-reversed species,ANIMAL BEHAVIOUR,2015,104,137,143,NA,10.1016/j.anbehav.2015.03.014
229,1,0,Food amount rather than visit rate,NA,"Pozgayova, M; Beno, R; Prochazka, P; Jelinek, V; Abraham, MM; Honza, M",Lazy males and hardworking females? Sexual conflict over parental care in a brood parasite host and its consequences for chick growth,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2015,69,1053,1061,NA,10.1007/s00265-015-1918-9
230,1,0,diet composition,NA,"Carle, RD; Beck, JN; Calleri, DM; Hester, MM",Temporal and sex-specific variability in Rhinoceros Auk let diet in the central California Current system,JOURNAL OF MARINE SYSTEMS,2015,146,99,108,NA,10.1016/j.jmarsys.2014.08.020
237,1,0,IVI rather that visit rate,NA,"Ogawa, M; Shiozaki, T; Shirai, M; Muller, MS; Yamamoto, M; Yoda, K",How do biparental species optimally provision young when begging is honest?,BEHAVIORAL ECOLOGY,2015,26,885,899,NA,10.1093/beheco/arv028
239,1,0,Latency to feed rather than visit rate,NA,"Timm, K; Tilgar, V; Saag, P",DRD4 gene polymorphism in great tits: gender-specific association with behavioural variation in the wild,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2015,69,729,735,NA,10.1007/s00265-015-1887-z
250,1,0,IVI rather that visit rate,NA,"Podlaszczuk, M; Wojciechowski, Z; Podlaszczuk, P; Minias, P; Janiszewski, T; Wojciechowska, A",Shortening day length as a previously unrecognized selective pressure for early breeding in a bird with long parental care,JOURNAL OF ORNITHOLOGY,2015,156,389,396,NA,10.1007/s10336-014-1136-7
252,1,0,Food amount rather than visit rate,NA,"Whitehead, AL; Lyver, PO; Ballard, G; Barton, K; Karl, BJ; Dugger, KM; Jennings, S; Lescroel, A; Wilson, PR; Ainley, DG","Factors driving Adelie penguin chick size, mass and condition at colonies of different sizes in the Southern Ross Sea",MARINE ECOLOGY PROGRESS SERIES,2015,523,199,213,NA,10.3354/meps11130
258,1,0,No Provisioning data,NA,"Kubitza, RJ; Bugnyar, T; Schwab, C",Pair bond characteristics and maintenance in free-flying jackdaws Corvus monedula: effects of social context and season,JOURNAL OF AVIAN BIOLOGY,2015,46,206,215,NA,10.1111/jav.00508
263,1,0,Latency to feed rather than visit rate,NA,"Fernandez, GJ; Corral, MG; Llambias, PE",Sexual differences in risk-taking behaviour of the Southern house wren during the nestling rearing stage,ACTA ETHOLOGICA,2015,18,11,18,NA,10.1007/s10211-013-0177-x
266,1,0,"""Parental effort"" rather than visit rate",NA,"Iserbyt, A; Farrell, S; Eens, M; Muller, W",Sex-specific negotiation rules in a costly conflict over parental care,ANIMAL BEHAVIOUR,2015,100,52,58,NA,10.1016/j.anbehav.2014.11.014
267,1,0,"""Feed Index"" rather than visit rate",NA,"Barron, DG; Webster, MS; Schwabl, H",Do androgens link morphology and behaviour to produce phenotype-specific behavioural strategies?,ANIMAL BEHAVIOUR,2015,100,116,124,NA,10.1016/j.anbehav.2014.11.016
269,1,0,No Provisioning data,NA,"Mariette, MM; Griffith, SC",The Adaptive Significance of Provisioning and Foraging Coordination between Breeding Partners,AMERICAN NATURALIST,2015,185,270,280,NA,10.1086/679441
271,1,0,diet composition,NA,"McCann, S; Scott, C; Jones, T; Moeri, O; O'Donnell, S; Gries, G","Red-throated Caracara, a falconid raptor, rivals predatory impact of army ants on social wasps",INSECTES SOCIAUX,2015,62,101,108,NA,10.1007/s00040-014-0384-0
277,1,0,Proportion of time,NA,"Wlodarczyk, R; Minias, P","Division of parental duties confirms a need for bi-parental care in a precocial bird, the mute swan Cygnus olor",ANIMAL BIOLOGY,2015,65,163,176,NA,10.1163/15707563-00002468
280,1,0,Probability of feeding,NA,"Sagar, RL; Leseberg, A; Hunt, K; Nakagawa, K; Dunphy, B; Rayner, MJ","Optimising translocation efforts of Mottled Petrels (Pterodroma inexpectata): growth, provisioning, meal size and the efficacy of an artificial diet for chicks",EMU,2015,115,137,145,NA,10.1071/MU14056
284,1,0,proportion of feeds/chick weight gain,NA,"Gilmour, ME; Lattin, CR; Romero, LM; Haussmann, MF; Mauck, RA; Dearborn, DC",Finding the best predictor of reproductive performance of Leach's Storm-Petrels,AUK,2015,132,191,205,NA,10.1642/AUK-14-21.1
285,1,0,one nest,NA,"Londono, GA; Garica, DA; Martinez, MAS",Morphological and Behavioral Evidence of Batesian Mimicry in Nestlings of a Lowland Amazonian Bird,AMERICAN NATURALIST,2015,185,135,141,NA,10.1086/679106
287,1,0,nest attendance,NA,"Nelson, BF; Daunt, F; Monaghan, P; Wanless, S; Butler, A; Heidinger, BJ; Newell, M; Dawson, A",Protracted treatment with corticosterone reduces breeding success in a long-lived bird,GENERAL AND COMPARATIVE ENDOCRINOLOGY,2015,210,38,45,NA,10.1016/j.ygcen.2014.10.003
