Search_Ref,Authors,Title,Journal,Abstract,Year,Volume,Page_Start,Page_End,Article_Number,DOI,DOI_Link,Screen,Downloaded,Included,Why_Not,Extracted
2022-11,"White, AF; Dawson, RD",Manipulations of brood age reveal limited parental flexibility in an insectivorous passerine,ANIMAL BEHAVIOUR,"For birds with altricial nestlings, behavioural flexibility in provisioning may be essential to success, as it enables parents to respond to changes in offspring demand. While parents often increase the quantity of food they provide as nestlings grow, they may also adjust different aspects of this suite of behaviours (i.e. feeding rate, prey type and size and distribution within broods) flexibly in response to nestling age. We tested whether generalist insectivores, mountain bluebirds, Sialia currucoides, respond to abrupt shifts in the body size of nestlings the same way they do when nestlings age normally. During a short-term (within-day) manipulation of nestling age, we recorded provisioning behaviour of parents feeding their own ('natal') and an age-manipulated (increased or decreased by 4 days) brood on the same day, in addition to recording provisioning ~4 days before or after, when natal broods were the same age as manipulated broods. Parents responded to the age manipulation by altering feeding rates, but when broods aged naturally, parents altered the types and sizes of prey they delivered. Parents fed less often and provided larger prey when feeding younger-than-expected broods than when feeding young natal broods. Parents given older-than-expected broods fed more larvae, and fed more often, but provided smaller prey than supplied to older natal broods. Parents feeding older natal broods distributed prey more equitably among nestlings than those feeding either experimental older broods or younger broods (both natural and experimental broods), but this was not due to biased feeding of nestlings according to their body weight. Females fed more often than males and increased the quantity of larvae they provided to younger-than-expected broods. We suggest that parent mountain bluebirds can perceive and respond to both rapid and gradual changes in offspring size, but they may use different cues to adjust feeding rate and prey use.(c) 2021 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2022,184,99,109,,10.1016/j.anbehav.2021.12.006,http://dx.doi.org/10.1016/j.anbehav.2021.12.006,1,1,1,,1
2022-12,"Baldan, D; van Loon, EE",Songbird parents coordinate offspring provisioning at fine spatio-temporal scales,JOURNAL OF ANIMAL ECOLOGY,"For parents, rearing offspring together is far from a purely cooperative exercise, as a conflict of interest ('sexual conflict') exists over their optimum level of care. Recent theory emphasizes that sexual conflict can be evolutionarily resolved, and complete parental cooperation can occur, if parents directly respond ('negotiate') to each other and coordinate their level of care. Despite numerous experiments showing that parents are responsive to each other, we still lack empirical evidence of the behavioural mechanisms by which this negotiation occurs. In this study, we investigated the spatio-temporal coordination of parental provisioning behaviour as a possible mechanism of negotiation over parental care. We deployed an automated radiotracking technology to track the provisioning activity of wild great tit Parus major pairs during chick rearing. Our analyses represent the first detailed spatial and temporal description of foraging coordination in songbird parents in a natural context. We demonstrate that the foraging behaviour of the two parents is highly coordinated in space and time, with parents changing their foraging locations in conjunction with their partners' movements. Therefore, foraging coordination could be a mechanism by which parents directly monitor and respond to each other's level of investment.",2022,91,1316,1326,,10.1111/1365-2656.13702,http://dx.doi.org/10.1111/1365-2656.13702,1,1,1,,1
2022-13,"Sandvig, EM; Coulson, T; Robertson, BC; Feeney, WE; Clegg, SM","Insular nestling growth and its relationship to parental care effort in Silvereyes, Zosterops lateralis",EMU-AUSTRAL ORNITHOLOGY,"The rate at which avian offspring grow can have consequences for survival and reproductive output as an adult and is known to vary widely among and within species. This variation is thought to be an adaptive response to cope with environmental variation. The principal environmental factors affecting growth are food availability and predation risk, predominantly acting as constraints on parental care. Islands pose an interesting system to explore growth rate dynamics, because the characteristic insular features of high population densities and depauperate predator diversity translate into a potentially food limited environment with low predation risk. Insular environments typically produce populations with slower life history strategies and larger body size in small-bodied species, features that are likely to be mediated by growth rate. We describe the nestling growth of an insular population of Silvereyes and how it relates to parental size and parental care. Neither parental size nor parental care explained insular nestling growth rate, even though food acquisition is thought to underpin avian growth rates. This could be due to a mismatch between acquisition and allocation of resources by nestlings. Compared to a small number of mainland nestlings, the island growth curve asymptotes were significantly larger and inflection points much later, but insular growth rates were only marginally slower. This is in line with proposed insular adaptations required to produce larger body size on islands, however understanding the mechanism underlying this pattern will require data on the relationship between food quality and acquisition, and physiological allocation of resources within individuals.",2022,122,193,202,,10.1080/01584197.2022.2105723,http://dx.doi.org/10.1080/01584197.2022.2105723,1,1,1,,1
2022-14,"Gillies, N; Tyson, C; Wynn, J; Syposz, M; Vansteenberghe, C; Guilford, T",Exploring the mechanisms of coordinated chick provisioning in the Manx shearwater Puffinus puffinus,JOURNAL OF AVIAN BIOLOGY,"Many species that provide care for their offspring in tandem with a partner coordinate their activities to maximise the efficiency of their investment. However, it is not well known exactly how this coordination is achieved. Manx shearwaters Puffinus puffinus are Procellariiform seabirds that exhibit a dual foraging strategy during chick provisioning in which long foraging trips to maintain condition are alternated with short, frequent trips to feed the offspring. This strategy is employed in a coordinated manner between the parents, with one making short trips while the other takes a single long trip. Previous work revealed that a complementary switch in foraging trip type is initiated by the parents following a synchronous visit to the nest. We used a combination of observational data and experimental manipulation to examine the mechanisms that may underlie this behaviour. Specifically, we investigated the evidence that physical reunion is necessary to induce a switch in trip type, whether parents change their behaviour to maximise the probability of partner encounter, and whether indirect cues gained from the chick could inform a switch in behaviour. In our experimental approach, we manipulated the information adults had available to them by supplementarily feeding chicks to alter their begging behaviour. We found no support for the role of physical reunion or indirect cues in the coordination of care in this species. We discuss the possibility that the patterns of alternated provisioning observed during chick rearing in Manx shearwaters may emerge through entrainment during the well-coordinated incubation period preceding chick provisioning.",2022,2022,,,,10.1111/jav.02881,http://dx.doi.org/10.1111/jav.02881,1,1,0,interval length,
2022-15,"Arrieta, RS; Campagna, L; Mahler, B; Llambias, PE",Neither paternity loss nor perceived threat of cuckoldry affects male nestling provisioning in grass wrens,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"Extra-pair paternity (EPP) is frequent in socially monogamous birds with biparental care. However, males should avoid providing care to unrelated offspring. In this study, we first analyzed the relationship between parental care and paternity loss, and secondly, we evaluated if males adjust parental care to a perceived threat of cuckoldry. Over three breeding seasons, we intensively studied a color-banded population of south temperate grass wrens Cistothorus platensis. We monitored nests attended by socially monogamous males, collected blood samples from adults and nestlings, and recorded male provisioning rates to the nestlings. Paternity was assigned genetically using SNP markers. We simulated territorial intrusions during the female fertile period (egg-laying) to manipulate males' perceived threat of cuckoldry. Neither the proportion of extra-pair offspring nor the presence/absence of extra-pair offspring in the nest affected male provisioning rates, suggesting that males did not adjust parental effort to actual paternity loss. Simulated territorial intrusions revealed that males were more likely to approach and attack a conspecific than a heterospecific stuffed decoy. However, experimental and control males provided food to their nestlings at similar rates. Retaliatory reduction of paternal care might not have evolved in grass wrens given the low frequency of extra-pair paternity (23%). Alternatively, males may rely predominately on precopulatory strategies (e.g., territoriality and mate guarding) to prevent females from obtaining extra-pair fertilizations. Significance statement A central tenet in the study of extra-pair behavior in birds is that males should reduce their parental contribution when females engage in extra-pair copulations. Males are thought to use indirect clues (female absences, male intrusions) and direct clues (observation of copulations) to gauge paternity loss. We studied the relationship between extra-pair behavior and male contribution to feeding nestlings in a Neotropical population of grass wrens. We found that males did not adjust their contribution to paternal care based on actual paternity loss. Moreover, simulated male intrusions during the female fertile period, which influence a male's perceived threat of cuckoldry, did not affect paternal care. Our results suggest that male grass wrens do not indirectly retaliate against females who engage in extra-pair behavior by reducing parental care.",2022,76,,,147,10.1007/s00265-022-03253-y,http://dx.doi.org/10.1007/s00265-022-03253-y,1,1,1,,1
2022-16,"Tyson, CW; Jennings, SL; Hoover, BA; Miles, A",Energetic constraints drive sex-specific parental care in the monomorphic Leach's storm-petrel Hydrobates leucorhous,JOURNAL OF AVIAN BIOLOGY,"Sex-specific parental care in dimorphic species may be unsurprising, but why this occurs in monomorphic species is more puzzling. To date, however, there have been few examinations of the causes of this phenomenon. Here, we evaluated possible explanations of sex-specific provisioning in the monomorphic Leach's storm-petrel Hydrobates leucorhous (until recently Oceanodroma leucorhoa). We tracked the chick-rearing behavior of 74 mated pairs using an automated nest monitoring system and collected daily measurements of chick growth. We found that males provisioned more frequently and made a larger overall contribution to chick feeding than females. Within-individual trip duration was more variable for females, suggesting that they were alternating to a greater degree between short, energetically taxing trips that prioritize chick care and longer, recovery trips that prioritize self-care. Moreover, females were more likely to embark on longer trips after completing a short trip and after encountering a chick in good condition. Males, however, appeared better able to perform repeated short trips that resulted in more frequent provisioning as well as greater amounts overall. These findings are consistent with the explanation that energetic constraints on females give rise to male-biased, sex-specific provisioning in a monomorphic species and are likely to explain similar patterns in other long-lived species where adult survival is high.",2022,2022,,,,10.1111/jav.02904,http://dx.doi.org/10.1111/jav.02904,1,1,0,interval length,
2022-17,"Lyon, BE; Carminati, A; Goggin, G; Eadie, JM",Did extreme nest predation favor the evolution of obligate brood parasitism in a duck?,ECOLOGY AND EVOLUTION,"Obligate brood parasites depend entirely on other species to raise their offspring. Most avian obligate brood parasites have altricial offspring that require enormous amounts of posthatching parental care, and the large fecundity boost that comes with complete emancipation from parental care likely played a role in the independent evolution of obligate parasitism in several altricial lineages. The evolution of obligate parasitism in the black-headed duck, however, is puzzling because its self-feeding precocial offspring should not constrain parental fecundity of a potential brood parasite in the way that altricial offspring do. We used an experimental nest predation study to test the idea that high nest predation rates played a role in the evolution of brood parasitism in this enigmatic duck. Experimental duck eggs in untended nests suffered massive rapid predation, while eggs in tended nests of the three main hosts, all aggressive nest defenders, had very high success, illustrating the benefits of parasitizing these 'bodyguard' hosts.",2022,12,,,e9251,10.1002/ece3.9251,http://dx.doi.org/10.1002/ece3.9251,0,,,,
2022-18,"Ledwon, M; Flis, A; Banach, A; Neubauer, G; Angelier, F",Baseline and stress-induced prolactin and corticosterone concentrations in a species with female offspring desertion-The case of Whiskered Tern Chlidonias hybrida,GENERAL AND COMPARATIVE ENDOCRINOLOGY,"To understand the proximate mechanisms regulating brood desertion, we studied hormonal and behavioural stress responses during the chick-rearing period in adult Whiskered Terns (Chlidonias hybrida), a socially monogamous, semi-precocial species with prolonged post-fledging parental care. In contrast to males, almost all females of this species desert during the chick-rearing and post-fledging periods. Because of the expected link between corticosterone, prolactin and parental investment, we hypothesized that males and females should differ in circulating prolactin and corticosterone concentrations. Baseline hormone concentrations did not differ between males and females. In both sexes, prolactin and corticosterone concentrations decreased and increased in response to acute stress (30 min after capture), respectively. Baseline and stress-induced prolactin concentrations decreased significantly in both sexes with advancing brood age. As expected, males had significantly higher stress-induced prolactin concentrations than females. None of the nine males released after being held in captivity for 24 h deserted, whereas four (29%) of the 14 females kept in captivity for 24 h did so. Altogether, these results suggest that higher prolactin concentrations may be involved in the maintenance of parental care under stress. However, there was no statistically significant difference in stress-induced hormone levels between males, females that deserted and those that returned to the nest after prolonged stress (24 h). Our data indicate that males are probably more resistant to stress as regards the continuation of parental care. The pattern of male and female behavioural and hormonal responses to stress partially predicts their behaviour in terms of natural desertion.",2022,317,,,113943,10.1016/j.ygcen.2021.113943,http://dx.doi.org/10.1016/j.ygcen.2021.113943,0,,,,
2022-19,"Lukhele, SM; Widdows, CD; Kirschel, ANG",Nest provisioning and diet of nestling yellow-rumped tinkerbird Pogoniulus bilineatus,AFRICAN JOURNAL OF ECOLOGY,,2022,60,75,78,,10.1111/aje.12927,http://dx.doi.org/10.1111/aje.12927,1,1,1,,1
2022-20,"Peterson, SM; Streby, HM; Kramer, GR; Feura, JM; Andersen, DE",Patterns of parental care and movement in divided broods of golden-winged warblers,JOURNAL OF AVIAN BIOLOGY,"Post-fledging brood division is a poorly understood, yet widespread suite of avian behaviours that includes both division of parental care and spatial division of a brood. For most species, the differences in parental care between adult males and females and the behavioural mechanisms explaining spatial patterns of brood division are unknown. We studied brood division in golden-winged warblers Vermivora chrysoptera to describe the spatial and behavioural characteristics of brood division and assess hypotheses describing the potential benefits of brood division. Female golden-winged warblers are known to travel farther from their nests than males within the post-fledging period, although the mechanism resulting in this spatial pattern is unknown. From 2010 to 2012, we monitored radio-marked golden-winged warbler fledglings from fledging until independence from adult care at three sites in the western Great Lakes region of North America. We observed no significant differences in provisioning, parental attendance, daily distance traveled and fledgling begging between male- and female-reared sub-broods. We also did not observe a relationship between parental sex and fledgling sex or mass. However, female-reared sub-broods exhibited a unique period of relatively consistent directional movement on days 8-10 after fledging, which resulted in females traveling farther from the nests than males. Our observations were not fully consistent with any previously proposed hypotheses about the benefits of brood division. Brood division is a complex behaviour that may have a suite of benefits, including predation defense and provisioning efficiency, that are not fully understood.",2022,2022,,,e02938,10.1111/jav.02938,http://dx.doi.org/10.1111/jav.02938,1,1,0,provisioning as a binary variable,
2022-21,"Emmerson, MG",Losing a parent in early-life impairs flock size discrimination and lowers oxytocin receptor abundance in a medial amygdala homologue of adult zebra finches,DEVELOPMENTAL PSYCHOBIOLOGY,"Experiencing inadequate parental care during early-life diminishes adult social competencies. For example, low parental care impairs adult socio-cognitive abilities (e.g., recognizing familiar conspecifics) and affiliation (e.g., close social proximity); outcomes attributed to diminished medial amygdala nonapeptide functioning in rodents. Whether parental care has effects beyond familiarity, and if siblings have similar effects to parents, is unclear. Here, zebra finches were used to explore if parent and/or sibling number shape adult recognition and preference of small versus large flocks and nonapeptide (oxytocin, vasotocin) receptor expression in an avian homologue of the mammalian medial amygdala. Chicks were raised by single mothers or fathers in small broods or paired parents in small or large broods matched to single parents for chicks per nest or per parent, respectively. Pair-raised birds had preferred flock sizes as adults, but birds raised by single parents had equal preference for either size. Oxytocin receptor expression was lower in birds raised by single parents versus paired parents, but vasotocin receptor levels were unaffected. Such results highlight parents as formative antecedents of their offspring's social competencies related to group size preference and their nonapeptide mechanisms, outcomes that influence an animal's ability to live in social groups.",2022,64,,,e22307,10.1002/dev.22307,http://dx.doi.org/10.1002/dev.22307,0,,,,
